"Keyword","Frequency"
"10e",25
"10n",29
"ability",25
"abundance",25
"acceptance",15
"access",249
"accordance",471
"account",77
"acknowledge",28
"acre",46
"act",563
"action",124
"activity",142
"addition",57
"address",111
"adjustment",15
"administration",48
"adoption",64
"advice",24
"affidavit",15
"affiliate",18
"aforesaid",53
"age",30
"agency",32
"agent",74
"agreement",1863
"alberta",20
"allocation",160
"allowance",36
"allowances",31
"amendment",121
"amount",180
"and",24
"animal",28
"anniversary",30
"appeal",81
"applicant",80
"application",228
"appoint",25
"appointing",24
"appointment",105
"approval",137
"arbitral",29
"arbitration",201
"arbitrator",156
"arm",20
"army",23
"article",55
"artifact",60
"assessment",70
"asset",19
"assign",40
"assignment",25
"assigns",18
"assistance",24
"aster",18
"attachment",20
"attempt",16
"authority",417
"authorization",30
"aux",15
"award",151
"band",67
"bank",117
"barter",23
"base",25
"basis",33
"bay",128
"bearing",145
"bed",16
"behalf",47
"benefit",98
"bird",231
"bivalf",16
"bivalve",20
"block",21
"body",56
"bona",29
"boundary",444
"breach",74
"brook",22
"building",62
"bull",17
"burial",17
"business",74
"bylaw",21
"cable",92
"cairn",85
"calendar",31
"canada",55
"canaday",172
"cancellation",36
"cap",16
"cape",16
"capital",53
"care",97
"case",194
"catch",47
"category",32
"cause",25
"cedar",15
"centre",35
"certainty",96
"certificate",67
"certification",27
"certify",20
"chain",37
"chair",26
"challenge",19
"change",64
"chapter",436
"chapterespect",15
"charge",107
"child",188
"circumstance",70
"citizen",128
"citizenship",22
"claim",144
"clam",36
"class",44
"clause",413
"cm",113
"coast",55
"code",33
"collection",18
"columbia",1053
"column",41
"commence",32
"commencement",120
"commission",27
"communication",60
"community",62
"component",20
"concession",16
"condition",246
"conduct",19
"confidentiality",32
"confirmation",24
"conflict",124
"connection",50
"consent",210
"conservation",122
"consideration",71
"constitution",79
"construct",19
"construction",74
"consultation",24
"context",22
"contractor",36
"control",45
"convenience",20
"coordinate",32
"copy",204
"corner",229
"corporation",101
"corporations",26
"corridor",39
"cost",209
"council",125
"county",16
"courier",22
"course",35
"court",265
"covenant",105
"crab",21
"creek",169
"crest",18
"criterion",20
"crown",160
"culture",33
"custody",24
"customer",15
"date",667
"datum",23
"day",376
"de",52
"death",19
"december",119
"decision",161
"default",35
"defence",25
"definition",51
"deflection",64
"degree",15
"delay",28
"delegation",17
"delivery",75
"delt",16
"delta",46
"demand",46
"department",55
"des",33
"description",120
"design",21
"designation",49
"despite",19
"destruction",15
"detail",15
"determination",33
"dip",24
"direction",120
"director",52
"disagreement",245
"discharge",21
"disclosure",41
"discretion",37
"discussion",30
"dispose",20
"disposition",92
"dispute",234
"disruption",23
"distance",197
"distribution",45
"district",295
"dividing",45
"division",19
"do",46
"document",274
"documentation",57
"dominion",23
"drainage",22
"duty",55
"earth",20
"easement",29
"east",35
"edition",36
"education",30
"effect",165
"effort",64
"elder",22
"election",22
"elevation",76
"eligibility",28
"emergency",69
"employee",53
"enactment",25
"encumbrance",20
"end",36
"endorsement",24
"energy",23
"enforcement",61
"enhancement",21
"enrolment",134
"entity",29
"entrance",17
"entry",23
"equipment",52
"erect",16
"error",18
"establishment",54
"estate",151
"evaluation",68
"evaluator",87
"event",60
"evidence",93
"excavation",25
"exception",28
"execution",58
"exercise",93
"expert",42
"expiration",60
"expiry",26
"export",29
"expropriating",74
"expropriation",107
"extension",24
"extent",252
"extremity",34
"facility",81
"facsimile",19
"fact",51
"factor",25
"failure",36
"family",34
"favour",31
"fax",19
"feature",31
"february",15
"fee",218
"feuille",18
"fide",31
"financing",40
"fiord",25
"fish",310
"fixture",18
"flow",19
"food",15
"foot",35
"force",82
"foregoing",23
"foreshore",30
"fork",16
"form",125
"formula",59
"forum",18
"fox",16
"fraser",51
"front",20
"function",59
"fund",41
"funding",34
"fur",15
"game",37
"gear",26
"general",16
"gill",56
"governance",24
"government",308
"governor",40
"grand",22
"grant",68
"grantee",75
"grantor",427
"ground",49
"grounds",28
"group",91
"growth",26
"guardian",19
"gulf",16
"habitat",26
"half",63
"hand",66
"harbour",28
"hazard",31
"head",22
"headings",26
"health",57
"hearing",86
"hectare",196
"height",95
"heritage",33
"herr",28
"herring",23
"holder",58
"home",25
"horse",23
"hotel",29
"hr",224
"hydro",313
"identifier",19
"ii",22
"iii",21
"immunitie",20
"impact",21
"implementation",81
"improvement",131
"inclusion",24
"indemnity",16
"indian",18
"individual",262
"information",293
"initiative",24
"injury",27
"inlet",70
"inspection",28
"installation",34
"institution",149
"instrument",107
"insurance",55
"intent",25
"interest",443
"interests",76
"interpretation",37
"intersection",185
"invite",21
"island",430
"islet",29
"issue",54
"item",90
"jan",317
"junction",17
"june",22
"jurisdiction",89
"justice",19
"kilometre",99
"kind",26
"lac",34
"land",1342
"lands",1408
"language",50
"lat",34
"latitude",783
"law",1189
"lawrence",25
"lease",69
"leave",16
"leed",17
"legislation",116
"length",59
"lessor",44
"levie",16
"liability",76
"licence",312
"license",28
"licensee",151
"lien",24
"lieutenant",20
"life",15
"link",65
"liquor",16
"list",67
"loan",73
"location",106
"longitude",683
"loss",52
"lot",448
"lots",16
"lund",31
"mail",41
"maintenance",71
"majesty",30
"majority",22
"make",38
"making",21
"management",200
"manner",87
"map",268
"march",16
"marine",41
"mark",182
"market",25
"marriage",33
"material",74
"matter",251
"matters",34
"mean",46
"meaning",72
"means",22
"measure",97
"mediation",90
"mediator",102
"meeting",56
"member",368
"membership",17
"meridian",48
"method",31
"methods",19
"metre",327
"migratory",54
"mine",23
"mineral",35
"minister",300
"modification",30
"money",25
"montagne",18
"month",56
"monument",95
"moss",20
"mount",38
"mountain",73
"mouth",33
"municipality",55
"museum",26
"name",134
"nation",2163
"nature",36
"need",32
"negligence",15
"negotiation",201
"north",547
"northeast",117
"northwest",78
"note",105
"notice",442
"notification",19
"notwithstanding",27
"nuisance",26
"number",164
"object",19
"obligation",205
"obstruction",18
"occupation",52
"occur",18
"occurrence",19
"ocean",19
"of",34
"offence",28
"offer",49
"offeror",20
"office",215
"officer",77
"official",15
"omission",23
"operate",16
"operation",92
"opinion",89
"opportunity",82
"option",21
"order",150
"ottawa",129
"outlet",18
"owner",263
"ownership",46
"pacifique",19
"page",54
"panel",130
"paragraph",666
"parcel",544
"parent",16
"parliament",15
"part",660
"participation",28
"partnership",16
"party",1727
"pass",17
"payment",95
"peace",15
"peak",114
"people",46
"performance",50
"period",168
"permission",36
"permit",168
"permittee",18
"person",420
"petroleum",20
"pi",51
"picking",20
"pid",25
"pipe",21
"pit",15
"place",83
"plan",710
"planning",45
"plant",202
"point",968
"policy",37
"population",318
"portion",234
"position",27
"post",76
"powell",22
"power",128
"practice",28
"premise",16
"prepayment",26
"prevail",111
"principle",29
"priority",30
"privileges",31
"procedure",112
"proceed",20
"proceeding",109
"proceedings",118
"process",283
"product",21
"production",45
"program",95
"project",64
"property",169
"proposal",37
"protection",93
"protections",18
"protocol",15
"province",124
"provision",259
"proviso",17
"public",24
"purpose",389
"purse",28
"quantity",22
"quarter",143
"queen",43
"question",36
"railway",17
"rainbow",17
"rate",18
"ratification",84
"reason",97
"receipt",123
"recommendation",116
"record",284
"recreation",19
"reference",252
"regard",22
"register",22
"registrar",32
"registration",93
"registry",39
"regulation",148
"relation",175
"relationship",33
"release",21
"relief",20
"relocation",57
"remains",28
"remedy",68
"removal",51
"repair",32
"repayment",59
"replacement",89
"report",59
"representation",40
"representative",72
"request",200
"requirement",108
"reservation",45
"reserve",145
"resident",22
"resolution",130
"resource",214
"respect",593
"response",17
"responsibility",42
"restriction",27
"result",60
"revenue",45
"review",76
"revision",24
"ridge",28
"right",507
"rights",294
"ring",23
"rock",55
"roe",24
"role",15
"rosier",16
"royalty",16
"rule",39
"safety",63
"sahtu",16
"salamander",15
"sale",53
"sand",15
"saturna",16
"scale",25
"schedule",297
"scope",32
"sea",36
"seaward",19
"section",1163
"security",64
"selection",16
"self",22
"servants",18
"service",253
"settlement",102
"shall",20
"shaw",63
"sheet",56
"shell",29
"shellfish",20
"shore",74
"side",83
"signatory",38
"signature",40
"sinuosity",29
"site",83
"size",37
"sketch",17
"solicitor",45
"sound",36
"source",28
"south",90
"southeast",47
"space",21
"species",243
"st",34
"stage",44
"standard",77
"state",16
"statement",37
"station",42
"statute",28
"statutory",87
"step",53
"stone",25
"storage",23
"strait",29
"street",17
"structure",65
"sturgeon",15
"subclause",67
"subdivision",33
"subject",208
"submission",27
"subparagraph",137
"subsection",114
"subspecy",33
"substance",52
"subsurface",56
"successor",42
"sum",17
"summary",16
"summit",89
"supervision",19
"support",16
"surface",27
"surplus",17
"survey",107
"surveyor",36
"system",82
"tax",113
"taxation",42
"telus",187
"tenure",89
"terasen",72
"term",368
"terminal",17
"terminate",33
"termination",88
"territory",83
"thence",222
"thing",55
"tide",27
"timber",59
"time",578
"title",339
"tortue",15
"township",333
"tract",25
"trade",27
"transfer",120
"transferee",181
"transferor",144
"transition",18
"transmission",29
"trap",38
"treaty",34
"tree",35
"tribunal",260
"tributary",26
"trout",106
"tsawwassen",702
"turtle",15
"type",30
"undertaking",18
"upland",49
"use",346
"utility",96
"validity",18
"valley",15
"value",85
"vancouver",77
"vegetation",19
"version",15
"vessel",91
"victoria",16
"view",25
"violation",27
"volume",19
"vote",40
"voter",28
"voting",19
"waiver",49
"way",378
"weight",17
"west",19
"westminster",22
"whale",25
"whereas",15
"whole",16
"wildlife",305
"will",17
"withdraw",16
"witness",47
"wood",16
"word",22
"work",580
"writ",17
"writing",161
"year",194
"yukon",26
