Management Domain,L1,L2,Keyword,Scope
Climate Change and Natural Disasters,11. Climate Change,11.1 Changes in Physical & Chemical Regimes,acidification,3 - Habitat
Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,agricultural,3 - Habitat
Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,agriculture,3 - Habitat
Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,agroforestry,3 - Habitat
Invasive Species and Disease,"8. Invasive / Other Problematic Species, Genes & Pathogens",8.2 Problematic Native Species,alga,3 - Habitat
Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",angler,2 - Fish
Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",angling,2 - Fish
Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Angling,2 - Fish
Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",angling.,2 - Fish
Aquaculture and Hatcheries,2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture,aquaculture,2 - Fish
Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",aquarium,2 - Fish
Transportation Infrastructure,"4. Transportation, Service & Security Corridors",4.2 Utility & Service Lines,aqueduct,3 - Habitat
Spatial Designation,NA,NA,area,4 - Governance
Aquaculture and Hatcheries,2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture,artificial,2 - Fish
Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.2 Dams & Water Management / Use,barrier,3 - Habitat
Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.2 Dams & Water Management / Use,beaver,3 - Habitat
Aquaculture and Hatcheries,2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture,biochemical,2 - Fish
Invasive Species and Disease,"8. Invasive / Other Problematic Species, Genes & Pathogens",8.1 Invasive Non-Native / Alien Species,biocontrol,3 - Habitat
Species Status and Assessment,NA,NA,biodiversity,4 - Governance
Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,biofuel,3 - Habitat
Invasive Species and Disease,"8. Invasive / Other Problematic Species, Genes & Pathogens",8.4 Pathogens,blight,2 - Fish
"Governance, Policy, and Organizational Structure",NA,NA,board,4 - Governance
Spatial Designation,NA,NA,boundary,4 - Governance
Aquaculture and Hatcheries,"8. Invasive / Other Problematic Species, Genes & Pathogens",8.3 Introduced Genetic Material,breeding,2 - Fish
Transportation Infrastructure,"4. Transportation, Service & Security Corridors","4.1 Roads, Trails & Railroads",bridge,3 - Habitat
Transportation Infrastructure,"4. Transportation, Service & Security Corridors",4.3 Shipping Lanes,canals,3 - Habitat
Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",catch,2 - Fish
Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",catches,2 - Fish
Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.2 Dams & Water Management / Use,catchment,3 - Habitat
Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",caught,2 - Fish
Transportation Infrastructure,"4. Transportation, Service & Security Corridors","4.1 Roads, Trails & Railroads",causeway,3 - Habitat
Transportation Infrastructure,"4. Transportation, Service & Security Corridors",4.3 Shipping Lanes,channel,3 - Habitat
Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.2 Dams & Water Management / Use,channelization,3 - Habitat
Pollution,9. Pollution,9.1 Water-Borne & Other Effluent Pollution ,chemical,3 - Habitat
Climate Change and Natural Disasters,11. Climate Change,11.1 Changes in Physical & Chemical Regimes,CO2,3 - Habitat
"Governance, Policy, and Organizational Structure",NA,NA,committee,4 - Governance
