RAMS_category,RAMS_limiting_factor,NOAA_eco_concern_id,ecological_concern,sub_category,examples,definition,iucn_l2
,,1.1,Sediment conditions,Anthropogenic Barriers,"Access,  Barriers, Flap Gates, Tidal Gates,  Culverts, Obstacles, Obstructions, Passage Issues, Blocked",Loss of access to habitat and/or habitat sub-types due to anthropogenic activity. Includes partial or ephemeral barriers.,
,,1.2,Sediment conditions,Natural Barriers,"Water Falls, Sand Bar, Bar Breach, Log Jams, Steep Gradient, Thermal Barriers, Low Water","Lasting natural barriers to stream or estuary access, including waterfalls, sand bars, log jams, sufficiently steep gradients or insufficient water. May represent the end of good quality habitat",
,,1.3,,HQ-Competition,"Refugia, Hatchery Fish, Predation, Stocking, Swamping","Limited physical space and the protection from predators or physical forces it provides, due to the addition of competing salmonid stocks, species or hatchery produced fish.",
Direct Anthropogenic Interactions,,2.1,Toxic contaminants,Predation,"Invasive/Exotic Fish or Invertebrate Predators
Native Fish, Native Bird, Native Pinnipeds, Fishing",Introduced salmon predators or changes to the habitat that increase native predator numbers or increase predator success. ,
,,2.2,Toxic contaminants,Pathogens,"Disease, Sea Lice, Introduced Diseases, Native Diseases, Whirling Disease, Myxobolus Cerebralis, Gyrodactylus, Sea Lice, Ulcerative dermal necrosis  (UDN), IHNV, VHSV, Kudoa, Henneguya, White Spot, Ich, Gill Amoeba",Increased mortality due to disease causing organisms or parasites.,
,,2.3,Toxic contaminants,Mechanical Injury,"Inadequate screening, Barging, Snagging, Stranding, Entrainment",Mortality or injury due to anthropogenic structures or as the result of mechanical forces due to anthropogenic structures,
,,2.4,Toxic contaminants,Contaminated Food,"Bioaccumulation Toxicity, PBDEs, PCBs, Oil, Organochlorides, Pesticides",Toxics substances found in prey that negatively affect salmon. Includes persistent toxic substances that are concentrated as they are consumed and move to the next trophic level .  ,
,,3.1,Species Interactions,Altered Primary Productivity,"Micro and Macro-Detrital Inputs, Loss of Marine Derived Nutrients, Carcasses, Down-welling, Ocean Conditions, Detritus, Phytoplankton","Alteration of ecological dynamics affecting the quantity, quality and/or species composition of phytoplankton or detritus resulting in insufficient food available for salmonids or prey species. ",
,,3.2,Species Interactions,Food-Competition,"Hatchery Fish, Increased Natural Competitors, Invasive Species","Insufficient food due to the addition of competing salmonid stocks, species or hatchery produced fish.",
,,3.3,Species Interactions,Altered Prey Species Composition and Diversity,"Species Diversity, Prey Species Abundance, Invasive Species, Altered Food Web Dynamics","Alteration of ecological dynamics affecting the species composition, distribution or nutritional quality of zooplankton, macroinvertebrates, forage-fish or other prey resulting in insufficient food  for salmonids.  ",
,,4.1,Food Web Alterations,Riparian Vegitation,"Bank degradation, Cover, Canopy, Inability to supply organic matter and filter sediments, Insufficient buffers, Light, Loss of natural shade ","Disturbance to streamside ecological relationships, including but not limited to, loss of flora, erosion and increased light and temperatures",
,,4.2,Food Web Alterations,LWD Recruitment,"LWD supply, Mature riparian, Mature trees",Loss of mature streamside trees that may become instream structures and associated decline in habitat complexity,
,,5.1,Channel Stability,Side Channel and Wetland Conditions,"Side Channels, Loss of peripheral habitat, Freshwater Wetlands, Swamp, Oxbows, Ponds, Alcoves","Degradation, elemination and loss of access to peripheral freshwater habitat, including side-channels and freshwater wetlands.",
,,5.2,Channel Stability,Floodplain Condition,"Floodplain, Bank condition, Overbank area, Diking","Degradation, elemination and loss of access to the over or beyond bank habitat, of streams and rivers that is periodically inundated during high flows.",
,,5.3,Channel Stability,Estuary Conditions,"Estuary, Salt-water transition zone, Lagoon, Estuary plume, Delta, Slough, Pocket estuary",Loss and degradation of saltwater transition zone,
,,5.4,Channel Stability,Nearshore Conditions,"Beaches, Tidal flats, Eelgrass beds, Eelgrass meadows, Kelp forest, Baitfish spawning grounds",Loss and degradation of shallow water nearshore habitat,
,,6.1,Channel Modification,Bed and Channel Form,"Loss of sinuosity,  Bank hardening, Channel incision, Channelized, Aggradation, Bed substrate stability, Armoring, Bridge crossings, Confinement, Nearshore sediment loss, Beach erosion","Changes to river, stream, lake, estuarine tributary and distributary channel form, including width to depth ratios, sinuosity and bedload movement such as the loss (scour) or fill (aggradation) of the channel.",
,,6.2,Channel Modification,Instream Structural Complexity,"LWD, Pools, Boulders, Bank overhang, Cover, Habitat structure, Instream habitat, Habitat, Stream complexity, Habitat diversity, (Key) Habitat quantity/quality, Refugia habitat, Channel conditions, Instream roughness, Poor gravel/sediment sorting, Rugosity","Decline of the instream habitat quality. Based on the degree of habitat complexity and variety, includes the quantity and variability of stream depth and pools of varying size and depth.",
,,7.1,Floodplain Conditions,Decreased Sediment Quantity  ,"Substrate Quantity, Scour, Entrenchment, Loss of Spawning Habitat, Lack of spawning Gravel, Sediment transport",Decreased input of sediment to the stream system or some part of the stream system. ,
,,7.2,Floodplain Conditions,Increased Sediment Quantity  ,"Bank Erosion, Excessive sedimentation, Aggradation, Sediment Load, Excess Fines, Embeddedness, Sediment Size Ratio",Increased input of sediment to the stream system. ,
,,8.1,Instream Habitat,Temperature  ,High temperature,"Water temperature deviations, either in intensity or duration, sufficient to have adverse effects on listed salmonids",
,,8.2,Instream Habitat,Oxygen  ,"Eutrophication, Excess nutrients, Oxygen depleted bottom water",Oxygen concentration deviations sufficient to induce adverse effects in listed salmonids.,
,,8.3,Instream Habitat,Gas Saturation,"Gas bubble disease (GBD), Dissolved gasses, Nitrogen",Pathological condition due to saturated gases leaving solution into an animals tissue.,
,,8.4,Instream Habitat,Turbidity  ,"Suspended sediments, Plume Effects, ","Increased concentrations of suspended fine particulate matter sufficient to have adverse effects in listed salmonids, including reduction of their foraging ability and/or degradation of ecosystem function.",
,,8.5,Instream Habitat,pH,"Alkalinity, Ocean acidification, CO2",Acidity/alkalinity deviations sufficient to adversely effect salmonids or the species on which they feed.,
,,8.6,Instream Habitat,Salinity,Refuge from salinity regimes,Salinity at concentrations harmful to salmon,
,,8.7,Instream Habitat,Toxic Contaminants ,"Short-term Toxicity, Stormwater Discharge, Outfalls, Wastewater, Non-point Source Pollution, Spills, Marine Debris, Point Source Pollution, Copper, Mercury",Direct exposure to toxic substance in the water column. ,
,,9.1,Artificial Structures,Increased Water Quantity  ,"High flow, High volume, Flooding, Increased velocity, Increased peak flows, Decreased flood lag time, Redd scouring, Flashiness, Increased runoff, Water storage capability, Road density","Habitat disturbance associated with abnormally (compared to background) high water flow and increased ""flashiness"", including loss of channel substrate and the flushing of young fish downstream. ",
,,9.2,Artificial Structures,Decreased Water Quantity  ,"Low Volume, Plume Changes, Redd  Dewatering, Water Withdrawals, Surface Impoundments, Diversions, Lake Level","Habitat disturbances associated with abnormally (compared to background) low water flow, including but not limited to, increased temperature, loss of sediment, nutrients and barriers to passage and redd dewatering.  ",
,,9.3,Artificial Structures,Altered Flow Timing,"Water Releases, Impervious Surfaces, Urbanization, Low Flows, Dewatering",Habitat changes associated with alterations to the background (natural) timing of water quantity instream.,
,,10.1,,Reduced Genetic Adaptiveness,"Domestication Selection, Harvest selection, Outbreeding depression, Loss of lifehistory types",Genetic changes that result in the loss of adaptedness to the habitat or set of habitats a population experiences.,
,,10.2,,Small Population Effects,"Depensation, Loss of genetic diversity, Inbreeding, Genetic Drift, Increased predator effectiveness","Reductions in reproductive rate, loss of genetic resilience or loss of genetic adaptedness in a population due to reductions in abundance that result in further losses of abundance.",
,,10.3,,Demographic Changes,"Smaller size at return/maturity, greater age at return/maturity, reduced egg quality","Changes to the age, size or developmental makeup of a population that result in a reduction to abundance, fecundity or reproductive rate.",
,,10.4,,Life History Changes,"Changes to migration timing, loss of reproductive strategies, loss of life-history types (timing of release), increased residual/precocial males/females, run timing, increased jacks/jills","Changes to the behavior of individuals that result in a population wide loss of adaptedness, including changes in the composition of life-history types or the timing of migration and reproduction.",
