Legislation Name,Jurisdiction,Legislation Type,Act Name,Heading,Section Number,Paragraphs,Specificity,Management Domain,IUCN_L1,IUCN_L2,Clause Type
Aboriginal Communal Fishing Licences Regulations (SOR/93-332),Federal,Regulations,FISHERIES ACT,Communal Licences,4,"4 (1) The Minister may issue a communal licence to an aboriginal organization to carry on fishing and related activities. (2) The Minister may designate, in the licence, (a) the persons who may fish under the authority of the licence, and (b) the vessels that may be used to fish under the authority of the licence. (3) If the Minister does not designate the persons who may fish under the authority of the licence, the aboriginal organization may designate, in writing, those persons. (4) If the Minister does not designate the vessels that may be used to fish under the authority of the licence, the aboriginal organization may designate, in writing, those vessels. 5 (1) For the proper management and control of fisheries and the conservation and protection of fish, the Minister may specify in a licence any condition respecting any of the matters set out in paragraphs 22(1)(b) to (z.1) of the Fishery (General) Regulations and any condition respecting any of the following matters, without restricting the generality of the foregoing: (a) the species and quantities of fish that are permitted to be taken or transported; (b) the method by which and when the licence holder is to notify the Minister of designations, the documents that constitute proof of designation, when, under what circumstances and to whom proof of designation must be produced, the documents or information that designated persons and vessels must carry when carrying on fishing and related activities, and when, under what circumstances and to whom the documents or information must be produced; (c) the method to be used to mark and identify vessels and fishing gear; (d) the locations and times at which landing of fish is permitted; (e) the method to be used for the landing of fish and the methods by which the quantity of the fish is to be determined; (f) the information that a designated person or the master of a designated vessel is to report to the Minister or a person specified by the licence holder, prior to commencement of fishing, with respect to where and when fishing will be carried on, including the method by which, the times at which and the person to whom the report is to be made; (g) the locations and times of inspections of the contents of the hold and the procedure to be used in conducting those inspections; (h) the maximum number of persons or vessels that may be designated to carry on fishing and related activities; (i) the maximum number of designated persons who may fish at any one time; (j) the type, size and quantity of fishing gear that may be used by a designated person; (k) the circumstances under which fish are to be marked for scientific or administrative purposes; and (l) the disposition of fish caught under the authority of the licence.",2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Authorization & Mandate
Aboriginal Communal Fishing Licences Regulations (SOR/93-332),Federal,Regulations,FISHERIES ACT,Prohibitions,7,7 No person carrying on fishing or any related activity under the authority of a licence shall contravene or fail to comply with any condition of the licence. 8 No person other than a designated person may fish under the authority of a licence. 9 (1) No person who is authorized to fish under the authority of a licence shall fish for or catch and retain any species of fish in any area of the waters referred to in subsection 3(1) during the close time beginning on December 29 and ending on December 31. (2) The close time established by subsection (1) is considered to be fixed separately and individually with respect to any species of fish found in any of the waters referred to in subsection 3(1).,2,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species","License, Permitting, & Exemptions"
Agricultural Land Reserve Use Regulation,Provincial,Regulations,Agricultural Land Commission Act,Definitions,1,"1		  In this regulation: (a) a stabilized earthy matter having the properties and structure of humus, (b) beneficial to plant growth when used as a soil amendment, (c) produced by composting, and (d) derived only from organic matter; (a) a vertical farming system, (b) a rotating tray system, or (c) any other structure that minimizes the use of land, controls the use of light, air, water or nutrients or relies in whole or in part on automation, (d) a greenhouse, (e) a structure for mushroom production, or (f) a structure described in section 8 (1) (b) or (2) that is used for producing cannabis in accordance with section 8; (a) a wedding, other than a wedding to which paragraph (c) (ii) applies, (b) a music festival, or (c) an event, other than",3,Water Use and Watercourse Modifications,7. Natural System Management & Modifications,7.5 Biological System Management,
Agricultural Land Reserve Use Regulation,Provincial,Regulations,Agricultural Land Commission Act,Roads,18,"18		  The use of agricultural land for any of the following purposes is permitted and may not be prohibited as described in section 14: (a) constructing and upgrading roads within a dedicated right of way that has a constructed road bed for vehicular access and use; (b) upgrading an existing road that has vehicular access and use and that is declared to be a highway under section 42 of the Transportation Act; (c) widening an existing constructed road within a right of way (d) declaring as a forest service road an existing road under the Forest Act or a new road in a managed forest; (e) increasing the width of a forest service road within a right of way by up to 4 m if the right of way width is (f) constructing and upgrading a road, and conducting related works, for the purpose of realigning Highway 29 between Hudson's Hope and Charlie Lake, to the extent necessary to",3,Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,"License, Permitting, & Exemptions"
Agricultural Land Reserve Use Regulation,Provincial,Regulations,Agricultural Land Commission Act,Other permitted non-farm uses,19,"19		  The use of agricultural land for any of the following purposes is permitted and may not be prohibited as described in section 14: (a) collecting surface water for farm use or domestic use, water well drilling, connection of water lines and access to water well sites; (b) surveying, exploring and prospecting for gravel or minerals if all cuts, trenches and similar alterations are restored to the natural ground level on completing the surveying, exploring or prospecting; (c) constructing, upgrading and operating a railway on an existing railbed within a dedicated right of way; (d) widening an existing railbed within a right of way if the right of way width is 30.5 m or less.",3,Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,"License, Permitting, & Exemptions"
Agricultural Land Reserve Use Regulation,Provincial,Regulations,Agricultural Land Commission Act,Infrastructure,25,"25
		  The following uses of agricultural land are permitted but may be prohibited as described in section 20: (a) constructing, maintaining and operating force mains, trunk sewers, gas pipelines and water lines within an existing dedicated right of way; (b) constructing, maintaining and operating, for the purpose of drainage or irrigation or to combat the threat of flooding,",3,Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,"License, Permitting, & Exemptions"
Agricultural Land Reserve Use Regulation,Provincial,Regulations,Agricultural Land Commission Act,Permitted soil or fill uses,35,"35
		  Subject to section 36 [prohibited fill], the removal of soil from, or the placement of fill on, agricultural land for one or more of the following purposes is permitted if all applicable conditions are met: (a) constructing or maintaining a structure for farm use or for a principal residence if both of the following conditions are met: (b) constructing or maintaining berms for producing cranberries, if any fill placed on the area is (c) constructing or maintaining flood protection dikes, drainage, irrigation and livestock watering works for farm use, if the total annual volume of soil removed or fill placed is 320 m3/16 ha or less; (d) maintaining an existing farm road, if the total annual volume of soil removed or fill placed is equal to or less than the ratio of 50 m3 of soil or fill to 100 m of existing road length; (e) using clean sand as a top-dress for berry production, if the total annual volume of soil removed or fill placed is 100 m3/ha or less; (f) applying soil amendments, if incorporated into the soil to a depth of 30 cm or less; (g) conducting soil research and testing, if the soil removed or fill placed is limited to the amount necessary for the research or testing.",3,Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,"License, Permitting, & Exemptions"
Agricultural Land Reserve Use Regulation,Provincial,Regulations,Agricultural Land Commission Act,Necessary structures and ancillary services,5		  (1),"5		  (1) Subject to any limits and conditions set out in this Division, the use of agricultural land to construct, maintain or operate any of the following is designated as a farm use and may not be prohibited as described in section 4: (a) a structure, other than a residential structure, that is necessary for a farm use; (b) a driveway or utility that is necessary for a farm use. (a) a greenhouse; (b) a structure for use in an intensive livestock operation or for mushroom production; (c) an aquaculture facility.",2,Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,"Prohibition, Restriction, or Limitation"
Agricultural Land Reserve Use Regulation,Provincial,Regulations,Agricultural Land Commission Act,Parks and similar areas,"22
		  (1)","22
		  (1) The following uses of agricultural land are permitted but may be prohibited as described in section 20: (a) an open land park established by a local government or a first nation government, other than an aboriginal governing body referred to in paragraph (b) of the definition of ""first nation government"" in the Act, for biodiversity conservation, passive recreation, heritage, wildlife or scenery viewing purposes; (b) converting non-forested land to forested land on parcels less than 20 ha, other than for a farm use as described in section 10 [forestry]. (a) the area occupied by any associated structures does not exceed 100 m2 for each parcel; (b) the purpose does not include the creation of a wetland intended to manage urban runoff or waste.",3,Agriculture,2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops,"License, Permitting, & Exemptions"
Angling and Scientific Collection Regulation,Provincial,Regulations,Wildlife Act,Conservation surcharge stamps,2,"2		  For the purposes of section 12 (a) (ii) of the Act, a person must be the holder of an angling licence bearing a conservation surcharge stamp affixed to the licence that permits angling in relation to that affixed stamp, and pay the applicable fee and conservation surcharge set out in Schedule C, as follows: (a) for waters not listed in Schedule A, a conservation surcharge stamp affixed to the front of an angling licence in the box labelled ""Steelhead"" permits angling for or retaining steelhead in those unclassified waters; (a.1) for classified waters listed in column 1 of Schedule A, a conservation surcharge stamp affixed to the front of an angling licence, in the box labelled ""Steelhead"", (b) a conservation surcharge stamp affixed to the front of an angling licence in the box labelled ""Kootenay Rainbow Trout"" permits the retention of up to 5 rainbow trout that measure more than 50 cm from the tip of the nose to the fork of the tail that are caught in Kootenay Lake east of a line between fishing boundary signs on opposite shores at Balfour Point and Proctor Lighthouse; (c) a conservation surcharge stamp affixed to the front of an angling licence in the box labelled ""Non-tidal Salmon"" permits the retention of salmon that are caught in non-tidal waters of the Province, including not more than 10 adult chinook salmon; (e) a conservation surcharge stamp affixed to the front of an angling licence in the box labelled ""Shuswap Rainbow Trout"" permits the retention of up to 5 rainbow trout that measure more than 50 cm from the tip of the nose to the fork in the tail that are caught in Shuswap Lake; (f) a conservation surcharge stamp affixed to the front of an angling licence in the box labelled ""Shuswap Char"" permits the retention of up to 5 char that measure more than 60 cm from the tip of the nose to the fork in the tail that are caught in Shuswap Lake.",1,Fisheries,5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species",Instruction
