act_name,agency
Agricultural Land Commission Act,Agriculture and Food
Animal Health Act,Agriculture and Food
Farm Practices Protection Act,Agriculture and Food
Farming and Fishing Industries Development Act,Agriculture and Food
Fish and Seafood Act,Agriculture and Food
Environmental Management Act,Attorney General and Deputy Premier
Forest and Range Practices Act,Attorney General and Deputy Premier
Emergency And Disaster Management Act,Emergency Management and Climate Readiness
Energy Resource Activities Act,Energy and Climate Solutions
Federal Port Development Act,Energy and Climate Solutions
Hydro and Power Authority Act,Energy and Climate Solutions
Hydro Power Measures Act,Energy and Climate Solutions
Ecological Reserve Act,Environment and Parks
Environmental Assessment Act,Environment and Parks
Environmental Management Act,Environment and Parks
Forest and Range Practices Act,Environment and Parks
Integrated Pest Management Act,Environment and Parks
Park Act,Environment and Parks
Protected Areas of British Columbia Act,Environment and Parks
Assessment Act,Finance
Forest Act,Finance
Forest and Range Practices Act,Finance
Range Act,Finance
Forest Act,Forests
Forest and Range Practices Act,Forests
Natural Resource Compliance Act,Forests
Private Managed Forest Land Act,Forests
Range Act,Forests
Weed Control Act,Forests
Environmental Management Act And Public Health Act,Health
Pest Control Products Act,Health Canada
Fishing Collective Bargaining Act,Labour
Mines Act,Mining and Critical Minerals
Tla'amin Final Agreement Act,Minister of Aboriginal Affairs and Northern Development
"Canada Shipping Act, 2001",Minister of Fisheries and Oceans
Coastal Fisheries Protection Act,Minister of Fisheries and Oceans
Department of Fisheries and Oceans Act,Minister of Fisheries and Oceans
Fisheries Act,Minister of Fisheries and Oceans
Fisheries Development Act,Minister of Fisheries and Oceans
Fishing and Recreational Harbours Act,Minister of Fisheries and Oceans
Fishing and Recreational Harbours Act,Minister of Fisheries and Oceans
Freshwater Fish Marketing Act,Minister of Fisheries and Oceans
Oceans Act,Minister of Fisheries and Oceans
Foreign Missions and International Organizations Act,Minister of Foreign Affairs
International Boundary Waters Treaty Act,Minister of Foreign Affairs
Maanulth First Nations Final Agreement Act,Minister of Indian Affairs and Northern Development
Tsawwassen First Nation Final Agreement Act,Minister of Indian Affairs and Northern Development
Dominion Water Power Act,Minister of Indigenous Service
Canada Oil And Gas Operations Act,Minister of Natural Resources
Canadian Energy Regulator Act,Minister of Natural Resources
Canada Oil And Gas Operations Act,Minister of Northern Affairs
Dominion Water Power Act,Minister of Northern Affairs
Canada National Marine Conservation Areas Act,Minister of the Environment
Canada National Parks Act,Minister of the Environment
Canada Water Act,Minister of the Environment
Canada Water Agency Act,Minister of the Environment
Canada Wildlife Act,Minister of the Environment
"Canadian Environmental Protection Act, 1999",Minister of the Environment
Fisheries Act,Minister of the Environment
Impact Assessment Act,Minister of the Environment
International River Improvements Act,Minister of the Environment
International River Improvements Act,Minister of the Environment
Parks Canada Agency Act,Minister of the Environment
Species at Risk Act,Minister of the Environment
The Department of the Environment Act,Minister of the Environment
"Canada Shipping Act, 2001",Minister of Transport
Canadian Navigable Waters Act,Minister of Transport
Transportation of Dangerous Goods Act,Minister of Transport
"Wrecked, Abandoned Or Hazardous Vessels Act",Minister of Transport
Coastal Fisheries Protection Act,North Pacific Fisheries Commission
Professional Governance Act,Post-Secondary Education and Future Skills
Railway Act,Transportation and Transit
Transportation Act,Transportation and Transit
Dike Maintenance Act,"Water, Land and Resource Stewardship"
"Drainage, Ditch and Dike Act","Water, Land and Resource Stewardship"
Drinking Water Protection Act,"Water, Land and Resource Stewardship"
Environment and Land Use Act,"Water, Land and Resource Stewardship"
Environmental Management Act,"Water, Land and Resource Stewardship"
Fish and Seafood Act,"Water, Land and Resource Stewardship"
Flood Relief Act,"Water, Land and Resource Stewardship"
Flood Relief Act,"Water, Land and Resource Stewardship"
Forest and Range Practices Act,"Water, Land and Resource Stewardship"
Greenbelt Act,"Water, Land and Resource Stewardship"
Land Act,"Water, Land and Resource Stewardship"
Libby Dam Reservoir Act,"Water, Land and Resource Stewardship"
Libby Dam Reservoir Act,"Water, Land and Resource Stewardship"
Railway Act,"Water, Land and Resource Stewardship"
Riparian Areas Protection Act,"Water, Land and Resource Stewardship"
The Hunting And Fishing Heritage Act,"Water, Land and Resource Stewardship"
Water Protection Act,"Water, Land and Resource Stewardship"
Water Sustainability Act,"Water, Land and Resource Stewardship"
Water Utility Act,"Water, Land and Resource Stewardship"
Wildlife Act,"Water, Land and Resource Stewardship"
