cu_index,cu_species,cu_name,cu_area,cu_type,du_number,du_name,du_acronym,smu_area,smu_name,smu_id,smu_species,COSEWIC_threat_category,iucn_l2,rpa_threat_ranking,ranking_id
CK-10,Chinook,MIDDLE FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,9,"Middle Fraser, Stream, Spring ",MFR+GStr/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Geological events  (Landslides),10.1 Geological Events,Extreme,8
CK-11,Chinook,MIDDLE FRASER RIVER_SU_1.3,FRASER INTERIOR,Current,10,"Middle Fraser,Stream, Summer",MFR+GStr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Geological events  (Landslides),10.1 Geological Events,Extreme,8
CK-12,Chinook,UPPER FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,11,"Upper Fraser, Stream, Spring",UFR/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Geological events  (Landslides),10.1 Geological Events,Extreme,8
SEL-06-14,Sockeye,TAKLA/TREMBLEUR-EARLY STUART TIMING,FRASER INTERIOR,Current,20,Takla-Trembleur-EStu population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - EARLY STUART,SEL-FIA-14,Sockeye (Lake Type),Geological events (Landslides),10.1 Geological Events,Extreme,8
CK-16,Chinook,SOUTH THOMPSON-BESSETTE CREEK_SU_1.2,FRASER INTERIOR,Current,14,"South Thompson, Stream, Summer (Bessette)",STh+GStr/Stream/Summer/(Bessette),FRASER INTERIOR,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,Chinook,"Natural systems modifications (Water management, ecosystems modifications)",7.2 Dams & Water Management / Use,Extreme-High,7
CK-1,Chinook,OKANAGAN_0.X,FRASER INTERIOR,Current,69,"Okanagan River,Ocean, Summer",OK+ORWA/Ocean/Fall,FRASER INTERIOR,OKANAGAN CHINOOK SALMON,CK-FIA-01,Chinook,"Fishing and harvesting (i.e., Commercial, Recreational, FSC )","5.4 Fishing, Harvesting & Controlling Aquatic Species",High,6
CK-1,Chinook,OKANAGAN_0.X,FRASER INTERIOR,Current,69,"Okanagan River,Ocean, Summer",OK+ORWA/Ocean/Fall,FRASER INTERIOR,OKANAGAN CHINOOK SALMON,CK-FIA-01,Chinook,Dams & water management/use,7.2 Dams & Water Management / Use,High,6
CK-1,Chinook,OKANAGAN_0.X,FRASER INTERIOR,Current,69,"Okanagan River,Ocean, Summer",OK+ORWA/Ocean/Fall,FRASER INTERIOR,OKANAGAN CHINOOK SALMON,CK-FIA-01,Chinook,Roads and railroads,"4.1 Roads, Trails & Railroads",High,6
CK-1,Chinook,OKANAGAN_0.X,FRASER INTERIOR,Current,69,"Okanagan River,Ocean, Summer",OK+ORWA/Ocean/Fall,FRASER INTERIOR,OKANAGAN CHINOOK SALMON,CK-FIA-01,Chinook,Utility and service lines,4.2 Utility & Service Lines,High,6
CK-1,Chinook,OKANAGAN_0.X,FRASER INTERIOR,Current,69,"Okanagan River,Ocean, Summer",OK+ORWA/Ocean/Fall,FRASER INTERIOR,OKANAGAN CHINOOK SALMON,CK-FIA-01,Chinook,Shipping Lanes,4.3 Shipping Lanes,High,6
CK-1,Chinook,OKANAGAN_0.X,FRASER INTERIOR,Current,69,"Okanagan River,Ocean, Summer",OK+ORWA/Ocean/Fall,FRASER INTERIOR,OKANAGAN CHINOOK SALMON,CK-FIA-01,Chinook,Invasive non-native/Alien species,8.1 Invasive Non-Native / Alien Species,High,6
CK-9,Chinook,MIDDLE FRASER RIVER-PORTAGE_FA_1.3,FRASER INTERIOR,Current,8,"Middle Fraser, Stream, Fall (Portage)",MFR+GStr/Stream/Fall,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Geological events  (Landslides),10.1 Geological Events,High,6
SEL-03-02,Sockeye,CULTUS-LATE TIMING,FRASER INTERIOR,Current,6,Cultus-L population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Sockeye (Lake Type),,"5.4 Fishing, Harvesting & Controlling Aquatic Species",High,6
SEL-06-10,Sockeye,QUESNEL-SUMMER TIMING,FRASER INTERIOR,Current,16,Quesnel-S population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Sockeye (River & Lake Type),Climate change & severe weather (Shifting habitats),11.1 Changes in Physical & Chemical Regimes,High,6
SEL-06-10,Sockeye,QUESNEL-SUMMER TIMING,FRASER INTERIOR,Current,16,Quesnel-S population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Sockeye (River & Lake Type),Climate change & severe weather (Shifting habitats),11.2 Changes in Temperature Regimes,High,6
SEL-06-10,Sockeye,QUESNEL-SUMMER TIMING,FRASER INTERIOR,Current,16,Quesnel-S population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Sockeye (River & Lake Type),Climate change & severe weather (Shifting habitats),11.3 Changes in Precipitation & Hydrological Regimes,High,6
SEL-06-11,Sockeye,SETON-LATE TIMING,FRASER INTERIOR,Current,17,Seton-L population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Sockeye (Lake Type),Geological events (Landslides),10.1 Geological Events,High,6
SEL-06-13,Sockeye,TAKLA/TREMBLEUR/STUART-SUMMER TIMING,FRASER INTERIOR,Current,21,Takla-Trembleur-Stuart-S population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Sockeye (River & Lake Type),Climate change & severe weather (Shifting habitats),11.1 Changes in Physical & Chemical Regimes,High,6
SEL-06-13,Sockeye,TAKLA/TREMBLEUR/STUART-SUMMER TIMING,FRASER INTERIOR,Current,21,Takla-Trembleur-Stuart-S population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Sockeye (River & Lake Type),Climate change & severe weather (Shifting habitats),11.2 Changes in Temperature Regimes,High,6
SEL-06-13,Sockeye,TAKLA/TREMBLEUR/STUART-SUMMER TIMING,FRASER INTERIOR,Current,21,Takla-Trembleur-Stuart-S population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - SUMMER,SEL/SER-FIA-01,Sockeye (River & Lake Type),Climate change & severe weather (Shifting habitats),11.3 Changes in Precipitation & Hydrological Regimes,High,6
SEL-06-14,Sockeye,TAKLA/TREMBLEUR-EARLY STUART TIMING,FRASER INTERIOR,Current,20,Takla-Trembleur-EStu population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - EARLY STUART,SEL-FIA-14,Sockeye (Lake Type),Climate change & severe weather (Shifting habitats),11.1 Changes in Physical & Chemical Regimes,High,6
SEL-06-14,Sockeye,TAKLA/TREMBLEUR-EARLY STUART TIMING,FRASER INTERIOR,Current,20,Takla-Trembleur-EStu population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - EARLY STUART,SEL-FIA-14,Sockeye (Lake Type),Climate change & severe weather (Shifting habitats),11.2 Changes in Temperature Regimes,High,6
SEL-06-14,Sockeye,TAKLA/TREMBLEUR-EARLY STUART TIMING,FRASER INTERIOR,Current,20,Takla-Trembleur-EStu population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - EARLY STUART,SEL-FIA-14,Sockeye (Lake Type),Climate change & severe weather (Shifting habitats),11.3 Changes in Precipitation & Hydrological Regimes,High,6
SEL-03-02,Sockeye,CULTUS-LATE TIMING,FRASER INTERIOR,Current,6,Cultus-L population,,FRASER INTERIOR,FRASER SOCKEYE SALMON - LATE,SEL-FIA-03,Sockeye (Lake Type),,9.1 Water-Borne & Other Effluent Pollution ,High,6
