actionable_clause_category,type,keyword
responsible official,official,Admiralty
responsible official,official,Advisory
responsible official,official,Agency
responsible official,official,agency
discretionary language,discretionary,are authorized
responsible official,official,Assembly
responsible official,official,Attorney
responsible official,official,Auditor
discretionary language,mandatory,binding
responsible official,official,Board
responsible official,official,bureau
discretionary language,discretionary,can
responsible official,official,Chairperson
responsible official,official,Charter
responsible official,official,Chief
responsible official,official,Commission
responsible official,official,commissioner
responsible official,official,Commissions
responsible official,official,Committee
responsible official,official,Comptroller
responsible official,official,Conference
responsible official,official,Conservancy
responsible official,official,Department
responsible official,official,Dominion
responsible official,official,governor
responsible official,official,inspector
responsible official,official,Institution
responsible official,official,institutions
discretionary language,discretionary,is authorized
discretionary language,mandatory,is bound
responsible official,official,Lieutenant
discretionary language,discretionary,may
responsible official,official,Minister
responsible official,official,ministers
discretionary language,mandatory,must
responsible official,official,Office
responsible official,official,Officer
responsible official,official,parliament
responsible official,official,Province
responsible official,official,Registre
responsible official,official,Regulator
discretionary language,mandatory,require
discretionary language,mandatory,required
discretionary language,mandatory,shall
