act_name,agency
Agricultural Land Commission Act,Agriculture and Food
Animal Health Act,Agriculture and Food
Assessment Act,Finance
Canada National Marine Conservation Areas Act,Minister of the Environment
Canada National Parks Act,Minister of the Environment
Canada Oil And Gas Operations Act,Minister of Natural Resources
Canada Oil And Gas Operations Act,Minister of Northern Affairs
"Canada Shipping Act, 2001",Minister of Fisheries and Oceans
"Canada Shipping Act, 2001",Minister of Transport
Canada Water Act,Minister of the Environment
Canada Water Agency Act,Minister of the Environment
Canada Wildlife Act,Minister of the Environment
Canadian Energy Regulator Act,Minister of Natural Resources
"Canadian Environmental Protection Act, 1999",Minister of the Environment
Canadian Navigable Waters Act,Minister of Transport
Coastal Fisheries Protection Act,Minister of Fisheries and Oceans
Coastal Fisheries Protection Act,North Pacific Fisheries Commission
Department Of Fisheries And Oceans Act,Minister of Fisheries and Oceans
Department Of The Environment Act,Minister of the Environment
Dike Maintenance Act,"Water, Land and Resource Stewardship"
Dominion Water Power Act,Minister of Indigenous Service
Dominion Water Power Act,Minister of Northern Affairs
"Drainage, Ditch And Dike Act","Water, Land and Resource Stewardship"
Drinking Water Protection Act,"Water, Land and Resource Stewardship"
Ecological Reserve Act,Environment and Parks
Emergency And Disaster Management Act,Emergency Management and Climate Readiness
Energy Resource Activities Act,Energy and Climate Solutions
Environment And Land Use Act,"Water, Land and Resource Stewardship"
Environmental Assessment Act,Environment and Parks
Environmental Management Act,Attorney General and Deputy Premier
Environmental Management Act,Environment and Parks
Environmental Management Act,"Water, Land and Resource Stewardship"
Environmental Management Act And Public Health Act,Health
Farm Practices Protection Act,Agriculture and Food
Farming And Fishing Industries Development Act,Agriculture and Food
Federal Port Development Act,Energy and Climate Solutions
Fish And Seafood Act,Agriculture and Food
Fish And Seafood Act,"Water, Land and Resource Stewardship"
Fisheries Act,Minister of Fisheries and Oceans
Fisheries Act,Minister of the Environment
Fisheries Development Act,Minister of Fisheries and Oceans
Fishing And Recreational Harbours Act,Minister of Fisheries and Oceans
Fishing And Recreational Harbours Act,Minister of Fisheries and Oceans
Fishing Collective Bargaining Act,Labour
Flood Relief Act,"Water, Land and Resource Stewardship"
Flood Relief Act,"Water, Land and Resource Stewardship"
Foreign Missions And International Organizations Act,Minister of Foreign Affairs
Forest Act,Finance
Forest Act,Forests
Forest And Range Practices Act,Attorney General and Deputy Premier
Forest And Range Practices Act,Environment and Parks
Forest And Range Practices Act,Finance
Forest And Range Practices Act,Forests
Forest And Range Practices Act,"Water, Land and Resource Stewardship"
Freshwater Fish Marketing Act,Minister of Fisheries and Oceans
Greenbelt Act,"Water, Land and Resource Stewardship"
Hydro And Power Authority Act,Energy and Climate Solutions
Hydro Power Measures Act,Energy and Climate Solutions
Impact Assessment Act,Minister of the Environment
Integrated Pest Management Act,Environment and Parks
International Boundary Waters Treaty Act,Minister of Foreign Affairs
International River Improvements Act,Minister of the Environment
International River Improvements Act,Minister of the Environment
Land Act,"Water, Land and Resource Stewardship"
Libby Dam Reservoir Act,"Water, Land and Resource Stewardship"
Libby Dam Reservoir Act,"Water, Land and Resource Stewardship"
Maanulth First Nations Final Agreement Act,Minister of Indian Affairs and Northern Development
Mines Act,Mining and Critical Minerals
Natural Resource Compliance Act,Forests
Oceans Act,Minister of Fisheries and Oceans
Park Act,Environment and Parks
Parks Canada Agency Act,Minister of the Environment
Pest Control Products Act,Health Canada
Private Managed Forest Land Act,Forests
Professional Governance Act,Post-Secondary Education and Future Skills
Protected Areas Of British Columbia Act,Environment and Parks
Railway Act,Transportation and Transit
Railway Act,"Water, Land and Resource Stewardship"
Range Act,Finance
Range Act,Forests
Riparian Areas Protection Act,"Water, Land and Resource Stewardship"
Species At Risk Act,Minister of the Environment
The Department Of The Environment Act,Minister of the Environment
The Hunting And Fishing Heritage Act,"Water, Land and Resource Stewardship"
Tla'amin Final Agreement Act,Minister of Aboriginal Affairs and Northern Development
Transportation Act,Transportation and Transit
Tsawwassen First Nation Final Agreement Act,Minister of Indian Affairs and Northern Development
Water Protection Act,"Water, Land and Resource Stewardship"
Water Sustainability Act,"Water, Land and Resource Stewardship"
Water Utility Act,"Water, Land and Resource Stewardship"
Weed Control Act,Forests
Wildlife Act,"Water, Land and Resource Stewardship"
"Wrecked, Abandoned Or Hazardous Vessels Act",Minister of Transport
Transport Of Dangerous Goods Act,Transportation and Transit
"Transportation Of Dangerous Goods Act, 1992",Minister of Transport
Community Charter,Housing and Municipal Affairs
Forest Practices Code Of British Columbia Act,Forests
Private Managed Forest Land Act; Administrative Tribunals Act,Forests
Private Managed Forest Land Act; Administrative Tribunals Act,Attorney General and Deputy Premier
