species,du_number,du_name,rpa_citation
Chinook,1,"Southern Mainland Boundary Bay, Ocean, Fall population",Dionne et al. 2023
Chinook,2,"Lower Fraser, Ocean, Fall (Harrison)",Doutaz et al. 2020
Chinook,4,"Lower Fraser, Stream. Summer  (Upper Pitt)",Doutaz et al. 2020
Chinook,5,"Lower Fraser, Stream, Summer (Lillooet) ",Doutaz et al. 2020
Chinook,6,"Lower Fraser, Ocean, Summer (Maria Slough)",Dionne et al. 2023
Chinook,7,"Middle Fraser, Stream, Spring (FRCanyon)",Doutaz et al. 2020
Chinook,8,"Middle Fraser, Stream, Fall (Portage)",Doutaz et al. 2020
Chinook,9,"Middle Fraser, Stream, Spring ",Doutaz et al. 2020
Chinook,10,"Middle Fraser,Stream, Summer",Doutaz et al. 2020
Chinook,11,"Upper Fraser, Stream, Spring",Doutaz et al. 2020
Chinook,13,"South Thompson, Stream, Summer ",Dionne et al. 2023
Chinook,14,"South Thompson, Stream, Summer (Bessette)",Doutaz et al. 2020
Chinook,15,"Lower Thompson, Stream, Spring",Dionne et al. 2023
Chinook,16,"North Thompson, Stream, Spring",Doutaz et al. 2020
Chinook,17,"North Thompson, Stream, Summer",Doutaz et al. 2020
Chinook,69,"Okanagan River,Ocean, Summer",Mahony et al. 2021
Coho,,Interior Fraser Coho,Arbeider et al. 2020
Sockeye,2,Bowron-ES population,Doutaz et al. 2023
Sockeye,10,Harrison (U/S)-L population,Doutaz et al. 2023
Sockeye,14,North Barriere-ES population (original),Doutaz et al. 2023
Sockeye,16,Quesnel-S population,Doutaz et al. 2023
Sockeye,17,Seton-L population,Doutaz et al. 2023
Sockeye,20,Takla-Trembleur-EStu population,Doutaz et al. 2023
Sockeye,21,Takla-Trembleur-Stuart-S population,Doutaz et al. 2023
Sockeye,22,Taseko-ES population,Doutaz et al. 2023
Sockeye,24,Widgeon (River-Type) population,Doutaz et al. 2023
Sockeye,6,Cultus-L population,DFO 2019
