legislation_name,url
Aboriginal Communal Fishing Licences Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-93-332/page-1.html
Agricultural Land Commission Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02036_01
Agricultural Land Reserve General Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/57_2020
Agricultural Land Reserve Use Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/30_2019
Agrologists Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/10_2021
Angling and Scientific Collection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/125_90
Animal Health Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14016
Animal Products and Byproducts Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/2_2015
Antisapstain Chemical Waste Control Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/300_90
Applied Biologists Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/13_2021
Applied Science Technologists and Technicians Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12_2021
Approval Exemption Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/268_2005
Aquaculture Activities Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2015-177/page-1.html
Aquatic Invasive Species Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2015-121/page-1.html
Assessment Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96020_01
Authorizations Concerning Fish and Fish Habitat Protection Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-286/page-1.html
Ballast Water Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-120/page-1.html
Bowie Seamount Marine Protected Area Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-124/index.html
British Columbia Salmon Marketing Council Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/302_91
"British Columbia Sport Fishing Regulations, 1996",https://laws-lois.justice.gc.ca/eng/regulations/SOR-96-137/page-1.html
Canada National Marine Conservation Areas Act,https://laws-lois.justice.gc.ca/eng/acts/C-7.3/index.html
Canada National Parks Act,https://laws-lois.justice.gc.ca/eng/acts/N-14.01/index.html
Canada Oil and Gas Operations Act,https://laws-lois.justice.gc.ca/eng/acts/O-7/index.html
"Canada Shipping Act, 2001",https://laws-lois.justice.gc.ca/eng/acts/C-10.15/index.html
Canada Water Act,https://laws-lois.justice.gc.ca/eng/acts/C-11/index.html
Canada Water Agency Act,https://laws-lois.justice.gc.ca/eng/acts/C-11.001/index.html
Canada Wildlife Act,https://laws-lois.justice.gc.ca/eng/acts/W-9/index.html
Canadian Energy Regulator Act,https://laws-lois.justice.gc.ca/eng/acts/C-15.1/index.html
"Canadian Environmental Protection Act, 1999",https://laws-lois.justice.gc.ca/eng/acts/C-15.31/index.html
Canadian Navigable Waters Act,https://laws-lois.justice.gc.ca/eng/acts/N-22/index.html
Class C Parks Regulations,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/227_67
Coastal Fisheries Protection Act,https://laws-lois.justice.gc.ca/eng/acts/C-33/index.html
Coastal Fisheries Protection Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._413/index.html"
Code of Practice for Agricultural Environmental Management,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/8_2019
Code of Practice for Industrial Non-Hazardous Waste Landfills Incidental to the Wood Processing Industry,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/263_2010
Conservation Officer Service Authority Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/318_2004
Contaminated Sites Regulation,https://www.bclaws.gov.bc.ca/civix/content/complete/statreg/414786120/03053/reg03053/1341755808/?xsl=/templates/browse.xsl
Controlled Alien Species Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/94_2009
Cross-border Movement of Hazardous Waste and Hazardous Recyclable Material Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-25/index.html
Dam Safety Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/40_2016
Department of Fisheries and Oceans Act,https://laws-lois.justice.gc.ca/eng/acts/F-15/index.html
Department of the Environment Act,https://laws-lois.justice.gc.ca/eng/acts/E-10/index.html
Designation of Officers Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/305_2002
Dike Maintenance Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96095_01
Disposal at Sea Permit Application Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2014-177/index.html
Disposal at Sea Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2001-275/index.html
Dominion Water Power Act,https://laws-lois.justice.gc.ca/eng/acts/W-4/index.html
Dominion Water Power Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1603/index.html"
Dormancy and Shutdown Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/112_2019
"Drainage, Ditch and Dike Act",https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96102_01
Drinking Water Protection Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/01009_01
Drinking Water Protection Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/200_2003
Ecological Reserve Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96103_01
Ecological Reserve Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/196_2023
Emergency and Disaster Management Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/23037
Emergency Management Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/217_2017
Energy Resource Activities Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/08036_01
Energy Resource Road Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/56_2013
Engineers and Geoscientists Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14_2021
Environment and Land Use Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96117_01
Environmental Assessment Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18051
