management_domain,keyword,scope
Spatial Designation,adverse environmental,4 - Governance
Spatial Designation,classified water,4 - Governance
Spatial Designation,community forest,4 - Governance
Spatial Designation,conservation area,4 - Governance
Spatial Designation,conservation areas,4 - Governance
Spatial Designation,conservancies,4 - Governance
Spatial Designation,conservany,4 - Governance
Spatial Designation,crown land,4 - Governance
Spatial Designation,ecological,4 - Governance
Species Status and Assessment,endangered,4 - Governance
Spatial Designation,environmental assessment,4 - Governance
Spatial Designation,environmental impact,4 - Governance
Species Status and Assessment,extinct,4 - Governance
Species Status and Assessment,extirpated,4 - Governance
Spatial Designation,forest region,4 - Governance
Spatial Designation,internal waters,4 - Governance
Spatial Designation,land use,4 - Governance
Spatial Designation,management unit,4 - Governance
Spatial Designation,non tidal,4 - Governance
Species Status and Assessment,osteichthyes,4 - Governance
Spatial Designation,park community,4 - Governance
Spatial Designation,park reserve,4 - Governance
Spatial Designation,park reserves,4 - Governance
Spatial Designation,private land,4 - Governance
Species Status and Assessment,qualified environmental professional,4 - Governance
Spatial Designation,sensitive area,4 - Governance
Spatial Designation,sensitive areas,4 - Governance
Spatial Designation,significant area,4 - Governance
Spatial Designation,territorial sea,4 - Governance
Species Status and Assessment,threatened species,4 - Governance
Spatial Designation,tidal ,4 - Governance
Spatial Designation,wilderness area,4 - Governance
Spatial Designation,wildlife management area,4 - Governance
Spatial Designation,wildlife habitat,4 - Governance
Spatial Designation,water district,4 - Governance
