"paragraph_id","act_name","jurisdiction","Section","Heading","actionable_type","responsible_official","discretion_type","Paragraph"
184,"Agricultural Land Commission Act","Provincial","10","Executive committee",,"Commission; Committee","discretionary","(3) The commission may delegate to the executive committee any of its powers or duties."
213,"Agricultural Land Commission Act","Provincial","15","Inclusion of land in agricultural land reserve by the commission","designation","Commission","discretionary","15  (1) For the purposes of section 6, the commission may designate land, including Crown land, as agricultural land if the commission is satisfied that the land is suitable for farm use."
215,"Agricultural Land Commission Act","Provincial","15","Inclusion of land in agricultural land reserve by the commission","designation; agreement","Commission","discretionary","(2) If the final agreement of a treaty first nation provides that the treaty lands of the treaty first nation may not be designated as agricultural land without the consent of the treaty first nation, the commission may not exercise the authority under subsection (1) in relation to those treaty lands without the consent of the treaty first nation."
216,"Agricultural Land Commission Act","Provincial","17","Inclusion applications","reserve; approval","Commission","discretionary","17  (1) Subject to subsection (1.1), if the commission considers that an approval under this subsection carries out the intent of this Act, the commission may approve the inclusion in the agricultural land reserve"
225,"Agricultural Land Commission Act","Provincial","17","Inclusion applications","designation; reserve","Commission","discretionary","(3) On application by an owner of land, the commission may designate all or part of the land described in the application as land within the agricultural land reserve if the commission considers that the designation carries out the intent of this Act."
134,"Agricultural Land Commission Act","Provincial","2","Application of other Acts","regulation; plan","Commission","mandatory","(1.1) Despite subsection (1) and section 3, if a regulation under the Water Sustainability Act requires that the commission consider a water sustainability plan in making decisions in relation to an area that is subject to the water sustainability plan, the commission must comply with the regulation."
305,"Agricultural Land Commission Act","Provincial","20.3","Soil or fill use","notice","Chief; Officer","mandatory","(2) If the chief executive officer receives the fee and notice submitted under subsection (1) (c) (ii), the chief executive officer must do one or more of the following:"
311,"Agricultural Land Commission Act","Provincial","20.3","Soil or fill use",,"Chief; Officer","discretionary","(3) If a person fails to comply with subsection (1) (c) (ii), the chief executive officer may do one or both of the following:"
318,"Agricultural Land Commission Act","Provincial","20.3","Soil or fill use",,"Chief; Commission; Officer","discretionary","(6) The chief executive officer may delegate, in writing, the powers and duties of the chief executive officer under this section to an employee of the commission."
321,"Agricultural Land Commission Act","Provincial","22","Covenants",,"Commission","discretionary","22  (1) The commission may enter into a covenant under the Land Title Act with an owner of agricultural land."
355,"Agricultural Land Commission Act","Provincial","26","Delegation of powers respecting applications","agreement; exemption; report","Commission","discretionary; mandatory","(2) An agreement under subsection (1) between the commission and an authority may exempt a non-farm use in a specified area within the jurisdiction of the authority from the requirement of an application on the condition that the authority conducts audits and reports to the commission as required by the agreement."
418,"Agricultural Land Commission Act","Provincial","32","Boundaries to be amended","reserve","Commission","mandatory","32  If land is excluded from the agricultural land reserve under this Act, the commission must do both of the following:"
516,"Agricultural Land Commission Act","Provincial","43","Public hearing",,"Board","mandatory","(5) The board must hold at least one public hearing with respect to the matter in each administrative region."
147,"Agricultural Land Commission Act","Provincial","5","Commission members","order_in_council","governor; Lieutenant","mandatory","(a) the Lieutenant Governor in Council must appoint the chair;"
148,"Agricultural Land Commission Act","Provincial","5","Commission members",,"Minister","mandatory","(b) the minister must appoint the other members after consulting with the chair;"
154,"Agricultural Land Commission Act","Provincial","5","Commission members",,"Minister","mandatory","(4) If there is no member, other than the chair, who is a resident of a particular administrative region, the minister must within 90 days appoint a resident of that administrative region as a member in accordance with subsection (1)."
571,"Agricultural Land Commission Act","Provincial","52","Determinations and remediation orders","regulation; order","Chief; Commission; Officer","discretionary","52  (1) If the chief executive officer determines that a person has contravened this Act, the regulations or an order of the commission, the chief executive officer, in accordance with the regulations, may order the person to remedy the contravention by"
574,"Agricultural Land Commission Act","Provincial","52","Determinations and remediation orders","regulation; order","Chief; Officer","discretionary","(2) If a person fails to comply with an order under subsection (1), the chief executive officer, in accordance with the regulations, may do one or more of the following:"
579,"Agricultural Land Commission Act","Provincial","52.1","Notice of remediation orders in land title office","order; notice","Chief; Office; Officer","discretionary","52.1  (1) If the chief executive officer makes a remediation order under section 52 (1) in respect of agricultural land, the chief executive officer may file in the land title office a written notice containing"
590,"Agricultural Land Commission Act","Provincial","52.1","Notice of remediation orders in land title office","regulation; order; authorization; authorization","Chief; Commission; Officer","discretionary","(5) The authority under this section is in addition to any other action that the chief executive officer or the commission is authorized to take under this Act in respect of a contravention of this Act, the regulations or an order of the commission or chief executive officer."
597,"Agricultural Land Commission Act","Provincial","52.2","Cancellation of remediation order note","notice","Chief; Officer","mandatory","(a) the chief executive officer must deliver a cancellation notice to the Registrar of Titles, and"
598,"Agricultural Land Commission Act","Provincial","52.2","Cancellation of remediation order note","notice","Chief; Officer","discretionary","(3) The chief executive officer may deliver a cancellation notice to the Registrar of Titles if the chief executive officer"
667,"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor; Lieutenant","discretionary","58  (1) The Lieutenant Governor in Council may make regulations respecting farm uses and non-farm uses as follows:"
672,"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor; Lieutenant","discretionary","(2) The Lieutenant Governor in Council may make regulations respecting residential uses as follows:"
686,"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor; Lieutenant","discretionary","(3) The Lieutenant Governor in Council may make regulations respecting soil or fill uses as follows:"
689,"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor; Lieutenant","discretionary; mandatory","(4) The Lieutenant Governor in Council may make regulations respecting records that must be kept, and the period for which records must be kept, by persons engaging in any of the following:"
692,"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor; Lieutenant","discretionary","(5) In making a regulation under subsection (2) or (3), the Lieutenant Governor in Council may impose limits or conditions on the use of agricultural land, including, without limitation, limits or conditions"
771,"Agricultural Land Commission Act","Provincial","61","Transitional","reserve","Commission","discretionary","(5) The Provincial Agricultural Land Commission may take up and carry on to completion all proceedings or other matters commenced under any enactment that were, immediately before the coming into force of this section, before the Land Reserve Commission."
176,"Agricultural Land Commission Act","Provincial","8","Staff of the commission","order_in_council","Chief; Commission; governor; Lieutenant; Officer","discretionary","8  (1) On consultation with the chair of the commission, the Lieutenant Governor in Council may appoint, during pleasure, a chief executive officer of the commission, establish the terms of the appointment and set the remuneration of the chief executive officer."
178,"Agricultural Land Commission Act","Provincial","8","Staff of the commission",,"Chief; Commission; Officer","discretionary","(3) The chief executive officer may appoint other officers and employees necessary for the operations of the commission, determine their duties and set their remuneration."
