lemma,frequency,pos,example_tokens
person,826,NOUN,"person, persons"
Minister,823,PROPN,Minister
minister,807,NOUN,"minister, ministers, Ministers"
subsection,702,NOUN,"subsection, subsections"
Act,574,PROPN,Act
government,562,NOUN,"government, governments, Government, Governments"
section,537,NOUN,"section, sections"
make,508,VERB,"making, made, make, makes"
regulation,465,NOUN,"regulation, regulations, Regulations"
order,455,NOUN,"order, orders, ordered, ordering"
officer,435,NOUN,"officer, officers, Officer"
respect,404,NOUN,"respect, respecting, respects, Respect"
water,361,PROPN,"Water, water, waters"
Council,351,PROPN,Council
plan,350,NOUN,"plan, plans, Plans, planning"
land,310,NOUN,"land, Land, lands"
purpose,306,NOUN,"purposes, purpose"
Governor,296,PROPN,Governor
Canada,295,PROPN,Canada
agreement,294,NOUN,"agreement, agreements, Agreement"
area,290,NOUN,"area, Area, areas, Areas"
consider,263,VERB,"consider, considers, considering, considered"
jurisdiction,256,NOUN,"jurisdiction, jurisdictions"
court,250,NOUN,"court, Court"
require,243,VERB,"requires, required, require, requiring"
refer,228,VERB,"referred, refer, refers, referring"
power,222,NOUN,"powers, power, Powers"
include,219,VERB,"including, include, includes, included"
appoint,215,VERB,"appoint, appointed, appoints, appointing"
use,215,NOUN,"use, uses, used, using, Use"
substance,215,NOUN,"substance, substances, Substances"
authorize,213,VERB,"authorized, authorizing, authorize, authorizes"
have,213,VERB,"has, have, having, had"
species,202,NOUN,"species, Species"
authority,200,NOUN,"authority, authorities, Authority"
Lieutenant,197,PROPN,Lieutenant
may,195,PROPN,may
provide,189,VERB,"provides, provided, provide, providing"
specify,182,VERB,"specified, specify, specifying, specifies"
application,180,NOUN,"application, applications"
take,178,VERB,"take, taken, taking, took, takes"
designate,177,VERB,"designate, designated, designates, designating, Designated"
part,174,NOUN,"part, Part, parts"
time,174,NOUN,"time, times"
issue,173,VERB,"issued, issue, issuing, issues"
board,172,NOUN,"board, Board, boards"
permit,167,VERB,"permitted, permit, permits, permitting"
management,161,NOUN,"management, Management"
follow,160,VERB,"following, follows, followed, follow"
act,158,PROPN,"Act, act, acting, acts, acted"
