paragraph_id,actionable_type,responsible_official,discretion_type
184,,Commission; Committee,discretionary
213,designation,Commission,discretionary
215,designation; agreement,Commission,discretionary
216,reserve; approval,Commission,discretionary
225,designation; reserve,Commission,discretionary
134,regulation; plan,Commission,mandatory
305,notice,Chief; Officer,mandatory
311,,Chief; Officer,discretionary
318,,Chief; Commission; Officer,discretionary
321,,Commission,discretionary
355,agreement; exemption; report,Commission,discretionary; mandatory
418,reserve,Commission,mandatory
516,,Board,mandatory
147,order_in_council,governor; Lieutenant,mandatory
148,,Minister,mandatory
154,,Minister,mandatory
571,regulation; order,Chief; Commission; Officer,discretionary
574,regulation; order,Chief; Officer,discretionary
579,order; notice,Chief; Office; Officer,discretionary
590,regulation; order; authorization; authorization,Chief; Commission; Officer,discretionary
597,notice,Chief; Officer,mandatory
598,notice,Chief; Officer,discretionary
667,regulation; order_in_council,governor; Lieutenant,discretionary
672,regulation; order_in_council,governor; Lieutenant,discretionary
686,regulation; order_in_council,governor; Lieutenant,discretionary
689,regulation; order_in_council,governor; Lieutenant,discretionary; mandatory
692,regulation; order_in_council,governor; Lieutenant,discretionary
771,reserve,Commission,discretionary
176,order_in_council,Chief; Commission; governor; Lieutenant; Officer,discretionary
178,,Chief; Commission; Officer,discretionary
1974,order,Chief,discretionary
1987,order,Chief,discretionary
2055,order,Minister,discretionary
2280,designation,Chief; inspector,discretionary; mandatory
2282,agreement,Minister,discretionary
2290,,Chief; Minister,discretionary
2298,,Chief; Minister,mandatory
2307,,Chief,discretionary
2310,,Chief,discretionary
2318,,Chief; inspector,discretionary
2505,regulation; order_in_council,governor; Lieutenant,discretionary
3491,regulation; order_in_council,governor; Lieutenant,discretionary
3650,regulation; order_in_council,governor; Lieutenant,discretionary
3659,regulation; order_in_council,governor; Lieutenant; Minister,discretionary
3661,regulation; order_in_council,governor; Lieutenant,discretionary
3827,assessment; review,Minister,mandatory
3830,designation,Minister; Office,mandatory
3831,,Minister; Office,discretionary
3834,,Minister,discretionary
3980,,Board,discretionary
5200,regulation; policy; protected_area; agreement,Minister; ministers,mandatory
5201,report,Minister; parliament,mandatory
5202,plan; protected_area; review,Advisory; Committee; Minister,mandatory
5203,policy; protected_area; review,Advisory; Minister,discretionary
5214,regulation; order_in_council,governor,discretionary
5237,designation; park; protected_area,Agency; agency; Minister,discretionary
5241,regulation; code; designation,Minister,discretionary
5243,designation,Minister,discretionary
5244,designation; protected_area; certificate,Minister; Officer,mandatory
5248,code; protected_area,Officer,discretionary
5251,protected_area,Officer,discretionary
5258,protected_area,Officer,discretionary
5263,protected_area,Officer,discretionary; mandatory
5151,order; order_in_council; protected_area,governor,discretionary
5156,order; order_in_council; protected_area,governor,discretionary
5158,order; order_in_council; reserve,governor,discretionary
5159,order; order_in_council,governor,discretionary
5162,order; order_in_council; reserve,governor,discretionary
5169,designation,Committee,discretionary
