label_id,paragraph_id,label_type,label_value,keyword,scope
1,1,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishing,2 - Fish
2,1,Clause Type,Authorization & Mandate,may,
3,3,Clause Type,Interpretation & Purpose,includes,
4,4,Clause Type,"Licence, Permitting, & Exemptions",licence,
5,4,Clause Type,Interpretation & Purpose,means,
6,5,Clause Type,Interpretation & Purpose,means,
7,6,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",species of fish,2 - Fish
8,6,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishery,2 - Fish
9,6,Management Domain,Spatial Designation,waters,4 - Governance
10,6,Clause Type,"Administration, Application, & Structure",application,
11,7,Management Domain,Spatial Designation,non tidal,4 - Governance
12,7,Management Domain,Spatial Designation,waters,4 - Governance
13,8,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishery,2 - Fish
14,10,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fisheries waters,2 - Fish
15,11,Management Domain,Spatial Designation,waters,4 - Governance
16,11,Management Domain,Spatial Designation,tidal,4 - Governance
17,12,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",anadromous stock,2 - Fish
18,12,Management Domain,Spatial Designation,waters,4 - Governance
19,12,Management Domain,Spatial Designation,tidal,4 - Governance
20,12,Salmon Scope,,chinook,1 - Salmon
21,12,Salmon Scope,,sockeye,1 - Salmon
22,12,Salmon Scope,,salmon,1 - Salmon
23,12,Salmon Scope,,coho,1 - Salmon
24,12,Salmon Scope,,chum,1 - Salmon
25,13,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishery,2 - Fish
26,13,Management Domain,Spatial Designation,waters,4 - Governance
27,13,Salmon Scope,,salmon,1 - Salmon
28,13,Clause Type,Designation,area,
29,15,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishing,2 - Fish
30,15,Clause Type,"Licence, Permitting, & Exemptions",licence,
31,15,Clause Type,Authorization & Mandate,may,
32,16,Clause Type,Designation,designate,
33,16,Clause Type,"Licence, Permitting, & Exemptions",licence,
34,16,Clause Type,Authorization & Mandate,may,
35,17,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fish under,2 - Fish
36,17,Clause Type,"Licence, Permitting, & Exemptions",licence,
37,17,Clause Type,Authorization & Mandate,may,
38,18,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fish under,2 - Fish
39,18,Clause Type,"Licence, Permitting, & Exemptions",licence,
40,18,Clause Type,Authorization & Mandate,may,
41,19,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fish under,2 - Fish
42,19,Clause Type,Designation,designate,
43,19,Clause Type,"Licence, Permitting, & Exemptions",licence,
44,19,Clause Type,Authorization & Mandate,may,
45,20,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fish under,2 - Fish
46,20,Clause Type,Designation,designate,
47,20,Clause Type,"Licence, Permitting, & Exemptions",licence,
48,20,Clause Type,Authorization & Mandate,may,
49,21,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",control of fisheries,2 - Fish
50,21,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",protection of fish,2 - Fish
51,21,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishery,2 - Fish
52,21,Clause Type,"Licence, Permitting, & Exemptions",licence,
53,21,Clause Type,Authorization & Mandate,may,
54,22,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",quantities of fish,2 - Fish
55,22,Clause Type,"Licence, Permitting, & Exemptions",permitted,
56,23,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishing,2 - Fish
57,23,Clause Type,Designation,designation,
58,23,Clause Type,Designation,designated,
59,23,Clause Type,"Licence, Permitting, & Exemptions",licence,
60,23,Clause Type,Instruction,must,
61,24,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishing,2 - Fish
62,24,Clause Type,Instruction,to be used,
63,25,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",landing of fish,2 - Fish
64,25,Clause Type,"Licence, Permitting, & Exemptions",permitted,
65,26,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",landing of fish,2 - Fish
66,26,Clause Type,Instruction,to be used,
67,27,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishing,2 - Fish
68,27,Clause Type,Designation,designated,
69,27,Clause Type,"Licence, Permitting, & Exemptions",licence,
70,27,Clause Type,Instruction,report,
71,28,Clause Type,Instruction,to be used,
72,29,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishing,2 - Fish
73,29,Clause Type,Designation,designated,
74,29,Clause Type,Authorization & Mandate,may,
75,30,Clause Type,Designation,designated,
76,30,Clause Type,Authorization & Mandate,may,
77,31,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishing,2 - Fish
78,31,Clause Type,Designation,designated,
79,31,Clause Type,Authorization & Mandate,may,
80,32,Clause Type,Interpretation & Purpose,purposes,
81,33,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fish caught,2 - Fish
82,33,Clause Type,"Licence, Permitting, & Exemptions",licence,
83,34,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fishing,2 - Fish
84,34,Clause Type,"Prohibition, Restriction, or Limitation",contravene,
85,34,Clause Type,"Prohibition, Restriction, or Limitation",no person,
86,34,Clause Type,"Licence, Permitting, & Exemptions",licence,
87,34,Clause Type,Instruction,shall,
88,35,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fish under,2 - Fish
89,35,Clause Type,Designation,designated,
90,35,Clause Type,"Prohibition, Restriction, or Limitation",no person,
91,35,Clause Type,"Licence, Permitting, & Exemptions",licence,
92,35,Clause Type,Authorization & Mandate,may,
93,36,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",catch and retain,2 - Fish
94,36,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",species of fish,2 - Fish
95,36,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",fish under,2 - Fish
96,36,Management Domain,Spatial Designation,waters,4 - Governance
97,36,Clause Type,Authorization & Mandate,authorized,
98,36,Clause Type,"Prohibition, Restriction, or Limitation",no person,
99,36,Clause Type,"Licence, Permitting, & Exemptions",licence,
100,36,Clause Type,Designation,area,
101,37,IUCN,"5.4 Fishing, Harvesting & Controlling Aquatic Species",species of fish,2 - Fish
102,37,Management Domain,Spatial Designation,waters,4 - Governance
103,37,Clause Type,Designation,established,
104,39,IUCN,2.1 Annual & Perennial Non-Timber Crops,agricultural land,3 - Habitat
105,39,Clause Type,Interpretation & Purpose,means,
106,40,Management Domain,Spatial Designation,administrative region,4 - Governance
107,40,Clause Type,Designation,established,
108,40,Clause Type,Interpretation & Purpose,means,
109,41,Clause Type,Designation,established,
110,41,Clause Type,"Licence, Permitting, & Exemptions",agreement,
111,41,Clause Type,Interpretation & Purpose,means,
112,42,Clause Type,"Licence, Permitting, & Exemptions",agreement,
113,43,Clause Type,"Licence, Permitting, & Exemptions",agreement,
114,43,Clause Type,Designation,lands,
115,44,IUCN,2.1 Annual & Perennial Non-Timber Crops,agricultural land,3 - Habitat
116,44,Clause Type,Interpretation & Purpose,means,
117,45,IUCN,2.1 Annual & Perennial Non-Timber Crops,agricultural land,3 - Habitat
118,46,IUCN,2.1 Annual & Perennial Non-Timber Crops,agricultural land,3 - Habitat
119,47,IUCN,2.1 Annual & Perennial Non-Timber Crops,agricultural land,3 - Habitat
120,47,Clause Type,"Licence, Permitting, & Exemptions",unless,
121,48,IUCN,2.1 Annual & Perennial Non-Timber Crops,agricultural land,3 - Habitat
122,48,Clause Type,Interpretation & Purpose,means,
123,49,Clause Type,Interpretation & Purpose,means,
124,52,Clause Type,Interpretation & Purpose,means,
125,53,Clause Type,"Licence, Permitting, & Exemptions",agreement,
126,53,Clause Type,Interpretation & Purpose,means,
127,54,Management Domain,Governance Administration,appointed,4 - Governance
128,54,Clause Type,Interpretation & Purpose,means,
129,55,IUCN,2.1 Annual & Perennial Non-Timber Crops,agricultural land,3 - Habitat
