paragraph_id,legislation_id,section,heading,paragraph
1,1,1,Short Title,1 These Regulations may be cited as the Aboriginal Communal Fishing Licences Regulations.
2,1,2,Interpretation,"2 In these Regulations,"
3,1,2,Interpretation,"aboriginal organization includes an Indian band, an Indian band council, a tribal council and an organization that represents a territorially based aboriginal community; (organisation autochtone)"
4,1,2,Interpretation,licence means a communal licence issued under subsection 4(1); (permis)
5,1,2,Interpretation,"Minister means, in respect of"
6,1,2,Interpretation,"(a) fisheries for the fish and species of fish described in subsection 3(1) of the Quebec Fishery Regulations, 1990, in the waters referred to in that subsection, the Minister responsible in the Province of Quebec for the application of An Act respecting the conservation and development of wildlife, R.S.Q., c. C-61.1,"
7,1,2,Interpretation,"(a.1) fisheries in the non-tidal waters of Ontario, the Minister of Natural Resources for Ontario; and"
8,1,2,Interpretation,"(b) any other fishery, the Minister of Fisheries and Oceans. (ministre)"
9,1,3,Application,3 (1) These Regulations apply in respect of
10,1,3,Application,"(a) fisheries in Canadian fisheries waters in and adjacent to Ontario, Quebec, Nova Scotia, New Brunswick, Prince Edward Island, Newfoundland and the Northwest Territories;"
11,1,3,Application,(b) fisheries in the tidal waters in and adjacent to Manitoba;
12,1,3,Application,"(c) fisheries in tidal waters in and adjacent to the Yukon Territory and fisheries in the Yukon Territory for fish of an anadromous stock of chum salmon, coho salmon, chinook salmon, pink salmon, sockeye salmon, rainbow trout, the family Coregonidae (whitefish and cisco) or Arctic char; and"
13,1,3,Application,(d) fisheries in the waters of the Areas enumerated and described in Schedule II to the Pacific Fishery Management Area Regulations and salmon fisheries in British Columbia.
14,1,3,Application,(2) These Regulations do not apply in respect of national parks.
15,1,4,Communal Licences,4 (1) The Minister may issue a communal licence to an aboriginal organization to carry on fishing and related activities.
16,1,4,Communal Licences,"(2) The Minister may designate, in the licence,"
17,1,4,Communal Licences,"(a) the persons who may fish under the authority of the licence, and"
18,1,4,Communal Licences,(b) the vessels that may be used to fish under the authority of the licence.
19,1,4,Communal Licences,"(3) If the Minister does not designate the persons who may fish under the authority of the licence, the aboriginal organization may designate, in writing, those persons."
20,1,4,Communal Licences,"(4) If the Minister does not designate the vessels that may be used to fish under the authority of the licence, the aboriginal organization may designate, in writing, those vessels."
21,1,5,Communal Licences,"5 (1) For the proper management and control of fisheries and the conservation and protection of fish, the Minister may specify in a licence any condition respecting any of the matters set out in paragraphs 22(1)(b) to (z.1) of the Fishery (General) Regulations and any condition respecting any of the following matters, without restricting the generality of the foregoing:"
22,1,5,Communal Licences,(a) the species and quantities of fish that are permitted to be taken or transported;
23,1,5,Communal Licences,"(b) the method by which and when the licence holder is to notify the Minister of designations, the documents that constitute proof of designation, when, under what circumstances and to whom proof of designation must be produced, the documents or information that designated persons and vessels must carry when carrying on fishing and related activities, and when, under what circumstances and to whom the documents or information must be produced;"
24,1,5,Communal Licences,(c) the method to be used to mark and identify vessels and fishing gear;
25,1,5,Communal Licences,(d) the locations and times at which landing of fish is permitted;
26,1,5,Communal Licences,(e) the method to be used for the landing of fish and the methods by which the quantity of the fish is to be determined;
27,1,5,Communal Licences,"(f) the information that a designated person or the master of a designated vessel is to report to the Minister or a person specified by the licence holder, prior to commencement of fishing, with respect to where and when fishing will be carried on, including the method by which, the times at which and the person to whom the report is to be made;"
28,1,5,Communal Licences,(g) the locations and times of inspections of the contents of the hold and the procedure to be used in conducting those inspections;
29,1,5,Communal Licences,(h) the maximum number of persons or vessels that may be designated to carry on fishing and related activities;
30,1,5,Communal Licences,(i) the maximum number of designated persons who may fish at any one time;
31,1,5,Communal Licences,"(j) the type, size and quantity of fishing gear that may be used by a designated person;"
32,1,5,Communal Licences,(k) the circumstances under which fish are to be marked for scientific or administrative purposes; and
33,1,5,Communal Licences,(l) the disposition of fish caught under the authority of the licence.
