"act_name","jurisdiction","Section","Heading","implement_type","responsible_official","discretion_type","Paragraph"
"Agricultural Land Commission Act","Provincial","15","Inclusion of land in agricultural land reserve by the commission","designation","commission","discretionary","15  (1) For the purposes of section 6, the commission may designate land, including Crown land, as agricultural land if the commission is satisfied that the land is suitable for farm use."
"Agricultural Land Commission Act","Provincial","15","Inclusion of land in agricultural land reserve by the commission","designation; agreement","commission; authority","discretionary","(2) If the final agreement of a treaty first nation provides that the treaty lands of the treaty first nation may not be designated as agricultural land without the consent of the treaty first nation, the commission may not exercise the authority under subsection (1) in relation to those treaty lands without the consent of the treaty first nation."
"Agricultural Land Commission Act","Provincial","17","Inclusion applications","reserve; approval","commission","discretionary","17  (1) Subject to subsection (1.1), if the commission considers that an approval under this subsection carries out the intent of this Act, the commission may approve the inclusion in the agricultural land reserve"
"Agricultural Land Commission Act","Provincial","17","Inclusion applications","designation; reserve","commission","discretionary","(3) On application by an owner of land, the commission may designate all or part of the land described in the application as land within the agricultural land reserve if the commission considers that the designation carries out the intent of this Act."
"Agricultural Land Commission Act","Provincial","2","Application of other Acts","regulation; plan; requirement","commission","mandatory","(1.1) Despite subsection (1) and section 3, if a regulation under the Water Sustainability Act requires that the commission consider a water sustainability plan in making decisions in relation to an area that is subject to the water sustainability plan, the commission must comply with the regulation."
"Agricultural Land Commission Act","Provincial","20.3","Soil or fill use","notice","chief; officer","mandatory","(2) If the chief executive officer receives the fee and notice submitted under subsection (1) (c) (ii), the chief executive officer must do one or more of the following:"
"Agricultural Land Commission Act","Provincial","20.3","Soil or fill use","notice","chief; officer","discretionary","(4) If the chief executive officer does not take an action described in subsection (2) within 60 days after receiving the fee and notice submitted under subsection (1) (c) (ii) or the information requested under subsection (2) (a), the person may remove soil from or place fill on the agricultural land as described in the notice."
"Agricultural Land Commission Act","Provincial","25","Applications by owner","empowerment","authority","discretionary","(3.1) An application referred to in subsection (1) in relation to settlement lands may not proceed unless authorized by a law of the first nation government of the first nation that has legislative authority over the settlement lands."
"Agricultural Land Commission Act","Provincial","26","Delegation of powers respecting applications","agreement","commission; authority","discretionary","26  (1) The commission may enter into an agreement with any of the following to enable a first nation government or an authority to exercise some or all of the commission's power to decide use or subdivision applications:"
"Agricultural Land Commission Act","Provincial","26","Delegation of powers respecting applications","agreement; exemption; report; requirement","commission; authority","discretionary","(2) An agreement under subsection (1) between the commission and an authority may exempt a non-farm use in a specified area within the jurisdiction of the authority from the requirement of an application on the condition that the authority conducts audits and reports to the commission as required by the agreement."
"Agricultural Land Commission Act","Provincial","26","Delegation of powers respecting applications","agreement","authority","mandatory","(3) If an agreement is entered into under subsection (1), the first nation government or authority must, with respect to an application covered by the agreement,"
"Agricultural Land Commission Act","Provincial","26","Delegation of powers respecting applications","agreement; requirement","authority","mandatory","(6) If an authority has the power to decide an application under an agreement entered into under subsection (1), an application that would otherwise be required to be submitted to a local government or first nation government under section 34.1 (1) must be made directly to the authority."
"Agricultural Land Commission Act","Provincial","26","Delegation of powers respecting applications","agreement","commission","mandatory","(8) If the commission enters into an agreement under subsection (1) (c) with a first nation government in relation to settlement lands, that agreement or another agreement under this Act must include a definition of ""owner"" for the purposes of paragraph (b) (i) of the definition of ""owner"" in section 1 (1)."
"Agricultural Land Commission Act","Provincial","27","Chief executive officer may approve some applications","agreement","chief; authority; officer","discretionary","(6) The chief executive officer may not exercise a power that has been delegated to a first nation government or an authority by an agreement entered into under section 26."
"Agricultural Land Commission Act","Provincial","29","Exclusion applications","reserve","commission","discretionary","29  (1) A person may apply to the commission to have land excluded from the agricultural land reserve if the person is"
"Agricultural Land Commission Act","Provincial","32","Boundaries to be amended","reserve","commission","mandatory","32  If land is excluded from the agricultural land reserve under this Act, the commission must do both of the following:"
"Agricultural Land Commission Act","Provincial","34","Application procedure if local government or first nation government review not required","regulation","commission","mandatory","(d) an application for a specific type of use prescribed by regulation as an application that must be filed directly with the commission;"
"Agricultural Land Commission Act","Provincial","35","Waiver of application fees","designation","officer","discretionary","(2) A designated local government officer or an official designated for this purpose by a first nation government may waive an application fee payable under section 34.1 (1) if the designated officer or official considers that a case of hardship exists."
"Agricultural Land Commission Act","Provincial","38","Agreements","agreement","commission; authority","discretionary","38  For the purposes of this Act, the commission may enter into agreements with the government, a local government, a first nation government, Canada or an authority."
"Agricultural Land Commission Act","Provincial","40","Reference of a matter to the board","order; order_in_council","governor_in_council; commission; council","discretionary","(4) The Lieutenant Governor in Council may make an order under subsection (1) on the Lieutenant Governor in Council's own initiative or at the request of a local government, a first nation government or the commission."
"Agricultural Land Commission Act","Provincial","46","Conflict with bylaws","regulation; order; bylaw","commission","mandatory","(2) A local government in respect of its bylaws and a first nation government in respect of its laws must ensure consistency with this Act, the regulations and the orders of the commission."
"Agricultural Land Commission Act","Provincial","48","Bonding or other security","order; order_in_council; requirement","governor_in_council; commission; authority; council","discretionary","48  The Lieutenant Governor in Council, the commission, a local government, a first nation government or an authority may require that an applicant under this Act whose application has been approved on terms, in order to ensure compliance with the terms, post security in the form of insurance, a bond or another prescribed form of security."
"Agricultural Land Commission Act","Provincial","5","Commission members","order_in_council; appointment","governor_in_council; council","mandatory","(a) the Lieutenant Governor in Council must appoint the chair;"
"Agricultural Land Commission Act","Provincial","5","Commission members","appointment","minister","mandatory","(b) the minister must appoint the other members after consulting with the chair;"
"Agricultural Land Commission Act","Provincial","5","Commission members","appointment","minister","mandatory","(4) If there is no member, other than the chair, who is a resident of a particular administrative region, the minister must within 90 days appoint a resident of that administrative region as a member in accordance with subsection (1)."
"Agricultural Land Commission Act","Provincial","52","Determinations and remediation orders","regulation; order","chief; commission; officer","discretionary","52  (1) If the chief executive officer determines that a person has contravened this Act, the regulations or an order of the commission, the chief executive officer, in accordance with the regulations, may order the person to remedy the contravention by"
"Agricultural Land Commission Act","Provincial","52","Determinations and remediation orders","regulation; order","chief; officer","discretionary","(2) If a person fails to comply with an order under subsection (1), the chief executive officer, in accordance with the regulations, may do one or more of the following:"
"Agricultural Land Commission Act","Provincial","52.1","Notice of remediation orders in land title office","order; notice","chief; officer","discretionary","52.1  (1) If the chief executive officer makes a remediation order under section 52 (1) in respect of agricultural land, the chief executive officer may file in the land title office a written notice containing"
"Agricultural Land Commission Act","Provincial","52.1","Notice of remediation orders in land title office","order","commission","discretionary","(ii)  further information about the order may be inspected at the offices of the commission, and"
"Agricultural Land Commission Act","Provincial","52.1","Notice of remediation orders in land title office","regulation; order; empowerment","chief; commission; authority; officer","discretionary","(5) The authority under this section is in addition to any other action that the chief executive officer or the commission is authorized to take under this Act in respect of a contravention of this Act, the regulations or an order of the commission or chief executive officer."
"Agricultural Land Commission Act","Provincial","52.2","Cancellation of remediation order note","notice","chief; officer","mandatory","(a) the chief executive officer must deliver a cancellation notice to the Registrar of Titles, and"
"Agricultural Land Commission Act","Provincial","52.2","Cancellation of remediation order note","notice","chief; officer","discretionary","(3) The chief executive officer may deliver a cancellation notice to the Registrar of Titles if the chief executive officer"
"Agricultural Land Commission Act","Provincial","52.2","Cancellation of remediation order note","order","chief; officer","discretionary","(4) An affected person may apply to the chief executive officer to have a remediation order note cancelled by giving to the chief executive officer all of the following:"
"Agricultural Land Commission Act","Provincial","53","Order for compliance","regulation; order","commission","discretionary","(c) that a present or future activity or use of agricultural land may contravene this Act, the regulations, an order of the commission or a determination, a decision or an order under section 50, 52 or 54 (1)."
"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor_in_council; council","discretionary","58  (1) The Lieutenant Governor in Council may make regulations respecting farm uses and non-farm uses as follows:"
"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor_in_council; council","discretionary","(2) The Lieutenant Governor in Council may make regulations respecting residential uses as follows:"
"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor_in_council; council","discretionary","(3) The Lieutenant Governor in Council may make regulations respecting soil or fill uses as follows:"
"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor_in_council; council","mandatory; discretionary","(4) The Lieutenant Governor in Council may make regulations respecting records that must be kept, and the period for which records must be kept, by persons engaging in any of the following:"
"Agricultural Land Commission Act","Provincial","58","Land use regulations","regulation; order_in_council","governor_in_council; council","discretionary","(5) In making a regulation under subsection (2) or (3), the Lieutenant Governor in Council may impose limits or conditions on the use of agricultural land, including, without limitation, limits or conditions"
"Agricultural Land Commission Act","Provincial","58.6","General powers respecting regulations","appointment","commission","mandatory; discretionary","(iii)  services that may be provided by, information that must be provided to or powers that may be exercised by the commission or the officers or employees appointed by the commission, and"
"Agricultural Land Commission Act","Provincial","59","Powers cumulative","regulation; order","chief; commission; officer","discretionary","59  The powers in this Act and the regulations enabling the commission, the chief executive officer and an official to make an order, to impose a fine or penalty, or to commence a proceeding may be exercised separately, concurrently or cumulatively and do not affect the powers of the government under this or any enactment."
"Agricultural Land Commission Act","Provincial","61","Transitional","reserve","commission","discretionary","(5) The Provincial Agricultural Land Commission may take up and carry on to completion all proceedings or other matters commenced under any enactment that were, immediately before the coming into force of this section, before the Land Reserve Commission."
"Agricultural Land Commission Act","Provincial","8","Staff of the commission","order_in_council; establishment; appointment","governor_in_council; chief; commission; council; officer","discretionary","8  (1) On consultation with the chair of the commission, the Lieutenant Governor in Council may appoint, during pleasure, a chief executive officer of the commission, establish the terms of the appointment and set the remuneration of the chief executive officer."
"Agricultural Land Commission Act","Provincial","8","Staff of the commission","appointment","chief; commission; officer","discretionary","(3) The chief executive officer may appoint other officers and employees necessary for the operations of the commission, determine their duties and set their remuneration."
